Ana Kategori;Alt Kategori;Marka;Ürün Adı;Fiyat;Resim URL;Sosyal Kanıt (Favori);Yıldız;Yorum Sayısı
"Anne & Bebek & Çocuk";"Çocuk Gereçleri";"Xenon Smart";"Akıllı Bebek Kamerası Dijital Monitörlü 5"" Lcd Smart Baby Camera";"7.499,90 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1658/prod/QC/20250404/09/cc8e61e2-d3fd-36b6-951e-8d5add8c7660/1_org_zoom.jpg";"En Çok Satan 3. Ürün";"4.7";"323"
"Anne & Bebek & Çocuk";"Çocuk Gereçleri";"Kiwi";"Sleeper Anne Yanı Reflü Ayarlı Park Yatak Tekerli Katlanır Ahşap Beşik- Vizon";"4.990 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty100002/product/media/images/prod/PIM/20251104/16/7e6dd13b-8b81-476e-8e72-368f0ec1a578/1_org_zoom.jpg";"Videolu Ürün";"4.6";"86"
"Anne & Bebek & Çocuk";"Çocuk Gereçleri";"Elele";"Tenda Bebek Park Yatak Oyun Parkı ve Oyun Çadırı Bej";"4.099 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1776/prod/QC_PREP/20251021/14/36b2bbf6-8923-3065-aa21-bbefe6a9b225/1_org_zoom.jpg";"Videolu Ürün";"2";"0"
"Anne & Bebek & Çocuk";"Çocuk Gereçleri";"Cozibo";"Sling Anakucağı Cepli Bebek Taşıma Şalı";"394,33 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1559/product/media/images/ty1556/prod/QC/20240918/15/f7104988-b4dc-3f94-951d-310bc4ed148c/1_org_zoom.jpg";"Hızlı teslimat yapılıyor!";"3";"146"
"Anne & Bebek & Çocuk";"Çocuk Gereçleri";"GOOD NİGHT";"Funbed Katlanır Çocuk Yatağı ve Oyun Alanı | Tamamen Sünger | Tek & Çift Kişilik";"22.999 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1816/prod/QC_PREP/20260123/00/12c83038-6bc3-3570-9e71-1c0ebe189118/1_org_zoom.jpg";"En Çok Ziyaret Edilen 4. Ürün";"2";"15"
"Anne & Bebek & Çocuk";"Çocuk Gereçleri";"Duux";"Siena Baston Bebek Arabası Siyah";"2.570,44 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1512/product/media/images/prod/QC/20240824/15/b3f6e01a-a4db-30ae-bfce-ccf3e44528ba/1_org_zoom.jpg";"En Çok Satan 1. Ürün";"3.9";"111"
"Anne & Bebek & Çocuk";"Çocuk Gereçleri";"Quero";"Yummy 12in1 Mama Sandalyesi 12 Özellik Portatif Çalışma, Oyun Masalı Çok Fonksiyonlu Mama Sandalyesi";"4.569,47 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1818/prod/QC_ENRICHMENT/20260201/03/25613dd3-e7d3-3ae1-97ee-e59528223143/1_org_zoom.jpg";"En Çok Ziyaret Edilen 5. Ürün";"5";"92"
"Anne & Bebek & Çocuk";"Çocuk Gereçleri";"Livenzi";"Movibaby Hareket Sensörlü Otomatik Ana Kucağı-Grey";"2.499 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1840/prod/QC_ENRICHMENT/20260317/11/c8d1c5da-756e-3434-b32a-03deb83212c9/1_org_zoom.jpg";"En Çok Ziyaret Edilen 6. Ürün";"3";"824"
"Anne & Bebek & Çocuk";"Çocuk Gereçleri";"Cybex";"GB Pockit Plus  (dünyanın en küçük katlanan kabin boy bebek arabası)";"23.998 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1356/product/media/images/prod/QC/20240610/13/8364cb73-9ea0-3003-9da8-5c3b945ec73f/1_org_zoom.jpg";"En Çok Ziyaret Edilen 1. Ürün";"4.3";"187"
"Anne & Bebek & Çocuk";"Çocuk Gereçleri";"BEBEGOLD";"Travel Sistem Bebek Arabası / Ana Kucağı / Yağmurluk Set";"5.949 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1845/prod/QC_ENRICHMENT/20260326/17/68f7921d-4416-39e1-b870-b7ce292063d6/1_org_zoom.jpg";"En Çok Satan 6. Ürün";"4.9";"16"
"Anne & Bebek & Çocuk";"Çocuk Gereçleri";"Saban";"Emniyet Kemerli Çocuk Salıncağı Mavi";"782,81 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1846/prod/QC_ENRICHMENT/20260326/21/f01c7934-2017-3bf6-8d2e-26ad63a9fb25/1_org_zoom.jpg";"En Çok Satan 1. Ürün";"4.5";"426"
"Anne & Bebek & Çocuk";"Çocuk Gereçleri";"MİRALAY";"Yeni Nesil Yatak Bariyeri 180 cm Gri";"1.199 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1852/prod/QC_PREP/20260408/22/349e99d9-8c24-3f75-8325-717d9886d8d5/1_org_zoom.jpg";"En Çok Ziyaret Edilen 8. Ürün";"4.7";"25"
"Anne & Bebek & Çocuk";"Çocuk Gereçleri";"Yarence";"Babynest Ortobedik Anne Yanı Bebek Uyku Yatağı Ve Ergonomik Yastık";"565 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1005/product/media/images/prod/SPM/PIM/20231001/17/a9aeaad3-fce5-352f-bf59-2b239686dfad/1_org_zoom.jpg";"2,1B kişi favoriledi!";"4.4";"68"
"Anne & Bebek & Çocuk";"Çocuk Gereçleri";"Livenzi";"Mobibaby Anakucağı Cotton Deluxe - Gri";"1.099 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1858/prod/QC_ENRICHMENT/20260420/16/d1361feb-c17c-3acd-87c0-880f2563d8b7/1_org_zoom.jpg";"Hızlı teslimat yapılıyor!";"4";"264"
"Anne & Bebek & Çocuk";"Çocuk Gereçleri";"Cozibo";"Sling Anakucağı Cepli Bebek Taşıma Şalı";"417,57 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1621/prod/QC/20250107/12/9bf08dbe-df37-3a80-a87e-e36cb7154f87/1_org_zoom.jpg";"Hızlı teslimat yapılıyor!";"3";"66"
"Anne & Bebek & Çocuk";"Çocuk Gereçleri";"BebeK on For";"Anakucağı Kahve | %100 Kayın Ağacı Lamine Ahşap | Pamuklu Kumaş";"1.668 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1625/prod/QC/20250113/14/34a0f5ac-1516-34de-af17-20a8a4c003ba/1_org_zoom.jpg";"Fenomen Seçimi";"2";"162"
"Anne & Bebek & Çocuk";"Çocuk Gereçleri";"kubbe";"Anakucağı Cepli Bebek Taşıma Şalı, Bebek Askısı Sling";"539,86 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1554/product/media/images/ty1545/prod/QC/20240915/22/095b796e-fa10-3a77-90ff-4f9aa6a69616/1_org_zoom.jpg";"En Çok Ziyaret Edilen 1. Ürün";"5";"1530"
